               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  59,             0.01547,           0.0069008,           0.0072721,             0.99781,             0.97823,             0.99455,             0.75991,            0.016856,           0.0047338,           0.0026202,           0.0043809,           0.0043809,           0.0043809
                  60,            0.014978,           0.0074196,           0.0076705,             0.98631,             0.99087,             0.99476,               0.754,            0.017345,           0.0049696,           0.0022198,           0.0042445,           0.0042445,           0.0042445
                  61,            0.014687,           0.0071896,           0.0068332,             0.99003,              0.9926,             0.99407,             0.74218,            0.017688,           0.0046751,           0.0024059,           0.0041094,           0.0041094,           0.0041094
                  62,            0.014823,           0.0072414,           0.0074162,             0.99329,             0.98555,               0.995,              0.7374,            0.017768,           0.0048992,           0.0019566,           0.0039757,           0.0039757,           0.0039757
                  63,            0.014362,           0.0070323,           0.0063562,             0.99583,             0.99583,               0.995,             0.75414,            0.017802,           0.0048632,           0.0010553,           0.0038434,           0.0038434,           0.0038434
                  64,            0.013944,           0.0068062,            0.006564,             0.99237,             0.96934,               0.995,             0.74475,            0.017697,           0.0050772,           0.0028831,           0.0037128,           0.0037128,           0.0037128
                  65,            0.014091,           0.0070682,           0.0064191,              0.9872,             0.99057,               0.995,             0.73636,            0.017881,           0.0049608,            0.001639,            0.003584,            0.003584,            0.003584
                  66,            0.014179,           0.0064259,           0.0063201,              0.9928,             0.99111,               0.995,             0.76066,            0.016386,           0.0048667,           0.0015118,            0.003457,            0.003457,            0.003457
                  67,            0.013856,           0.0076198,           0.0064802,             0.99122,             0.99501,               0.995,             0.75471,            0.017095,           0.0049637,           0.0013871,           0.0033321,           0.0033321,           0.0033321
                  68,            0.014458,           0.0074859,            0.006586,             0.98203,                0.99,             0.98792,             0.74365,            0.017403,           0.0047663,           0.0036149,           0.0032093,           0.0032093,           0.0032093
                  69,            0.013756,           0.0069528,           0.0068791,             0.98765,             0.99342,             0.99303,             0.78764,            0.016107,           0.0045317,           0.0026441,           0.0030888,           0.0030888,           0.0030888
                  70,             0.01379,           0.0068314,           0.0064062,             0.98705,             0.99084,             0.99323,              0.7825,            0.016273,           0.0046246,             0.00273,           0.0029706,           0.0029706,           0.0029706
                  71,             0.01327,           0.0068883,           0.0062226,             0.98831,             0.99065,             0.99214,             0.75726,            0.016985,           0.0048214,           0.0027051,            0.002855,            0.002855,            0.002855
                  72,            0.013302,           0.0071064,           0.0060864,             0.98794,             0.99126,               0.995,             0.77935,            0.016201,           0.0047494,            0.001432,           0.0027419,           0.0027419,           0.0027419
                  73,            0.013257,           0.0067197,           0.0057902,             0.99242,             0.99666,               0.995,             0.76112,             0.01726,           0.0048679,          0.00093276,           0.0026316,           0.0026316,           0.0026316
                  74,            0.012866,           0.0064868,           0.0058248,             0.98585,             0.98678,             0.98857,              0.7776,            0.015637,           0.0046037,           0.0031703,           0.0025241,           0.0025241,           0.0025241
                  75,            0.013064,           0.0068036,           0.0056863,             0.99312,             0.99588,               0.995,             0.78101,             0.01591,           0.0044152,          0.00093426,           0.0024195,           0.0024195,           0.0024195
                  76,            0.012526,           0.0061226,           0.0062078,              0.9895,             0.99679,               0.995,              0.7873,            0.016234,           0.0047959,           0.0009505,            0.002318,            0.002318,            0.002318
                  77,            0.012509,           0.0064734,           0.0056991,             0.99485,             0.99442,               0.995,             0.78462,            0.015471,            0.004849,          0.00095496,           0.0022196,           0.0022196,           0.0022196
                  78,            0.012496,           0.0070809,           0.0053853,             0.99654,                   1,               0.995,             0.75942,            0.016929,           0.0053395,          0.00049349,           0.0021245,           0.0021245,           0.0021245
                  79,            0.012496,           0.0067584,           0.0054662,             0.99716,             0.99995,               0.995,             0.75613,            0.016956,           0.0050035,          0.00046827,           0.0020327,           0.0020327,           0.0020327
                  80,            0.012385,           0.0066279,           0.0051421,             0.99166,             0.99608,               0.995,             0.74656,            0.017558,            0.005162,          0.00089189,           0.0019443,           0.0019443,           0.0019443
                  81,            0.012187,           0.0064728,           0.0052083,             0.99271,              0.9924,               0.995,             0.75216,            0.018186,           0.0054184,          0.00089757,           0.0018594,           0.0018594,           0.0018594
                  82,            0.012172,           0.0066459,           0.0048765,             0.99003,             0.99551,               0.995,             0.75257,            0.017117,           0.0053852,           0.0014035,           0.0017781,           0.0017781,           0.0017781
                  83,            0.011728,           0.0061048,           0.0046201,             0.99267,             0.99197,             0.99452,             0.75622,            0.016947,           0.0054069,           0.0017009,           0.0017005,           0.0017005,           0.0017005
                  84,            0.011693,           0.0066879,           0.0048164,              0.9961,             0.99702,               0.995,             0.75229,            0.017857,           0.0053543,           0.0004213,           0.0016267,           0.0016267,           0.0016267
                  85,            0.012088,           0.0064349,           0.0056281,             0.99692,             0.99777,               0.995,             0.76308,            0.016922,           0.0052336,          0.00038301,           0.0015566,           0.0015566,           0.0015566
                  86,            0.011896,           0.0064617,           0.0051721,             0.99711,             0.99812,               0.995,             0.77295,            0.016787,           0.0052026,          0.00038312,           0.0014905,           0.0014905,           0.0014905
                  87,            0.012117,           0.0067813,           0.0058235,              0.9965,              0.9981,               0.995,             0.77888,             0.01601,           0.0050302,          0.00040047,           0.0014283,           0.0014283,           0.0014283
                  88,            0.011628,           0.0060728,           0.0048948,             0.99725,             0.99674,               0.995,             0.77004,            0.016112,           0.0046332,          0.00037202,           0.0013701,           0.0013701,           0.0013701
                  89,            0.011696,           0.0062202,           0.0056286,             0.99673,              0.9974,               0.995,             0.77471,            0.016146,           0.0049965,           0.0005637,            0.001316,            0.001316,            0.001316
                  90,            0.011774,           0.0064541,           0.0051186,             0.99647,             0.99625,               0.995,             0.75968,            0.017092,           0.0052852,          0.00040162,            0.001266,            0.001266,            0.001266
                  91,            0.011426,           0.0062136,           0.0048239,             0.99624,             0.99632,               0.995,             0.74832,            0.017277,           0.0052468,          0.00038765,           0.0012202,           0.0012202,           0.0012202
                  92,            0.011371,           0.0060918,           0.0051913,             0.99679,             0.99495,               0.995,              0.7669,            0.016323,           0.0053516,          0.00050384,           0.0011787,           0.0011787,           0.0011787
                  93,            0.011125,           0.0060924,           0.0044101,             0.99133,             0.99443,               0.995,             0.75773,             0.01715,           0.0054708,          0.00061213,           0.0011414,           0.0011414,           0.0011414
                  94,            0.011009,           0.0057006,           0.0045796,              0.9965,             0.99734,               0.995,             0.74572,            0.017585,            0.005506,          0.00034886,           0.0011084,           0.0011084,           0.0011084
                  95,            0.011288,           0.0060864,           0.0049266,             0.99697,             0.99806,               0.995,             0.73935,            0.018293,           0.0054579,          0.00040022,           0.0010797,           0.0010797,           0.0010797
                  96,            0.011442,           0.0062634,           0.0048593,             0.99725,             0.99681,               0.995,             0.76519,            0.016984,           0.0052084,          0.00031696,           0.0010554,           0.0010554,           0.0010554
                  97,            0.011349,            0.006385,           0.0048199,             0.99677,             0.99656,               0.995,             0.75051,             0.01778,           0.0058135,          0.00040107,           0.0010355,           0.0010355,           0.0010355
                  98,            0.010673,           0.0062843,           0.0046276,             0.99283,             0.99547,               0.995,             0.76326,            0.016949,           0.0054523,          0.00051597,             0.00102,             0.00102,             0.00102
                  99,            0.011322,           0.0061119,           0.0043344,             0.99657,             0.99669,               0.995,              0.7619,            0.016745,           0.0050836,          0.00034232,           0.0010089,           0.0010089,           0.0010089
