               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  71,            0.014425,           0.0066105,           0.0057299,             0.99262,             0.99487,               0.995,             0.73726,            0.020909,           0.0054349,            0.001281,            0.002855,            0.002855,            0.002855
                  72,            0.014151,           0.0075499,           0.0062872,             0.99386,             0.98618,               0.995,             0.76563,            0.019404,           0.0053695,           0.0017152,           0.0027419,           0.0027419,           0.0027419
                  73,            0.013854,           0.0069805,           0.0060249,             0.99416,             0.99096,               0.995,             0.77456,            0.018733,           0.0050786,           0.0009501,           0.0026316,           0.0026316,           0.0026316
                  74,            0.013744,           0.0081575,           0.0053506,             0.99482,             0.99529,               0.995,             0.76217,            0.019623,            0.005249,          0.00066324,           0.0025241,           0.0025241,           0.0025241
                  75,            0.013378,           0.0069848,           0.0056303,             0.99115,             0.99174,               0.995,             0.74664,             0.02047,            0.005514,          0.00097473,           0.0024195,           0.0024195,           0.0024195
                  76,            0.014297,           0.0072281,           0.0067538,             0.99076,             0.99169,               0.995,             0.76034,            0.021152,           0.0052504,            0.001113,            0.002318,            0.002318,            0.002318
                  77,            0.013138,           0.0067204,           0.0053953,             0.99341,             0.99528,               0.995,             0.77751,            0.019496,           0.0048624,          0.00071935,           0.0022196,           0.0022196,           0.0022196
                  78,            0.013626,           0.0076828,           0.0058036,             0.99544,             0.99518,               0.995,             0.74739,            0.020922,           0.0054619,          0.00067919,           0.0021245,           0.0021245,           0.0021245
                  79,            0.012874,           0.0064378,           0.0051722,             0.99034,             0.99355,             0.99476,             0.75388,            0.020231,            0.005187,          0.00089005,           0.0020327,           0.0020327,           0.0020327
                  80,            0.013493,           0.0066099,           0.0060142,             0.99172,             0.99614,             0.99476,             0.76285,             0.01959,           0.0052094,          0.00074443,           0.0019443,           0.0019443,           0.0019443
                  81,            0.013451,           0.0071615,           0.0058803,             0.98905,             0.99666,             0.99476,             0.74779,            0.020599,           0.0051387,          0.00081991,           0.0018594,           0.0018594,           0.0018594
                  82,            0.013051,           0.0066045,           0.0052789,             0.99495,             0.99632,               0.995,             0.73504,            0.020658,           0.0056984,           0.0006376,           0.0017781,           0.0017781,           0.0017781
                  83,            0.012347,           0.0057031,           0.0051624,             0.99126,              0.9957,               0.995,             0.72955,            0.021511,           0.0058577,          0.00080448,           0.0017005,           0.0017005,           0.0017005
                  84,            0.013005,           0.0070816,           0.0051497,             0.99276,             0.99556,               0.995,              0.7499,            0.020122,           0.0055384,          0.00083665,           0.0016267,           0.0016267,           0.0016267
                  85,            0.012454,           0.0060488,           0.0057698,              0.9872,             0.99173,             0.99476,             0.75627,            0.019495,           0.0051612,           0.0011548,           0.0015566,           0.0015566,           0.0015566
                  86,            0.013205,           0.0063358,           0.0059738,             0.99606,             0.99559,               0.995,             0.76337,            0.019851,           0.0053646,          0.00069426,           0.0014905,           0.0014905,           0.0014905
                  87,            0.011885,           0.0057458,           0.0048776,             0.99129,             0.99564,               0.995,             0.75828,            0.019772,           0.0051098,          0.00093688,           0.0014283,           0.0014283,           0.0014283
                  88,            0.012161,           0.0064014,           0.0048009,              0.9907,             0.99405,               0.995,             0.76868,            0.019039,           0.0048548,           0.0009776,           0.0013701,           0.0013701,           0.0013701
                  89,            0.012182,           0.0060347,           0.0047794,             0.99051,             0.99572,               0.995,             0.75431,            0.019672,           0.0051059,            0.000776,            0.001316,            0.001316,            0.001316
                  90,            0.012291,            0.006433,           0.0051474,               0.992,             0.99488,               0.995,             0.75935,            0.019988,           0.0052426,          0.00064945,            0.001266,            0.001266,            0.001266
                  91,            0.012035,           0.0062855,           0.0042571,             0.99485,             0.99988,               0.995,             0.75113,            0.020258,           0.0052232,          0.00046573,           0.0012202,           0.0012202,           0.0012202
                  92,            0.012156,           0.0059842,           0.0055378,             0.99396,              0.9944,               0.995,              0.7576,            0.019662,            0.005209,          0.00063204,           0.0011787,           0.0011787,           0.0011787
                  93,            0.011877,            0.005872,           0.0051068,             0.98936,             0.99698,               0.995,             0.76336,            0.018812,           0.0050635,          0.00072317,           0.0011414,           0.0011414,           0.0011414
                  94,            0.011801,           0.0073776,           0.0041464,             0.99118,             0.99297,             0.99476,             0.76573,            0.018949,           0.0054263,             0.00082,           0.0011084,           0.0011084,           0.0011084
                  95,            0.011976,           0.0066562,           0.0050703,             0.97799,             0.98561,              0.9928,             0.77604,            0.018764,           0.0050879,           0.0016721,           0.0010797,           0.0010797,           0.0010797
                  96,            0.011796,           0.0057975,           0.0045584,             0.98768,             0.98669,             0.99286,             0.77134,            0.019008,           0.0051961,           0.0013602,           0.0010554,           0.0010554,           0.0010554
                  97,            0.011867,           0.0074569,           0.0048452,             0.99158,             0.99567,             0.99476,             0.77146,            0.019186,           0.0050788,          0.00067626,           0.0010355,           0.0010355,           0.0010355
                  98,            0.011999,           0.0068465,           0.0053799,             0.98747,             0.99352,             0.99405,             0.75492,            0.019718,           0.0052091,          0.00092682,             0.00102,             0.00102,             0.00102
                  99,             0.01188,           0.0076606,            0.005225,             0.98749,             0.98744,             0.99333,             0.75311,            0.019803,            0.005159,           0.0013665,           0.0010089,           0.0010089,           0.0010089
